! From the Lovell rotamer library
!   Lovell, Word, Richardson, and Richardson. "The Penultimate
!   Rotamer Library." PROTEINS: Structure, Function, and Genetics,
!   40:389-408 (2000).
! The first line is the number of AA types to be read
! The format for the rest of the file is
! AA_name num_dihedrals num_rotamers
! dihedral_list_one_per_line
! rotamer_angles
19
ALA 0 0
VAL 1 9
N CA CB CG1
54
63
72
166
175
184
-69
-60
-51
LEU 2 15
N CA CB CG
CA CB CG CD1
79 -75 0
-186 65 -100
-177 65 -100
-168 65 -100
-186 65 60
-177 65 60
-168 65 60
-186 180 0
-177 180 0
-168 180 0
-74 85 0
-65 85 0
-56 85 0
-76 180 -25
-67 180 -25
-58 180 -25
-74 -65 -40
-65 -65 -40
-56 -65 -40
-74 -65 100
-65 -65 100
-56 -65 100
GLY 0 0
